timestamp_local,session_date,minute_of_session,regime,open,high,low,close,volume,ret_1min
2025-04-09 13:19:00-04:00,2025-04-09,230,1,499.76,515.05,498.67,512.8,5244918.0,0.025743604104574436
2010-05-06 14:47:00-04:00,2010-05-06,318,0,108.7,111.76,106.79,111.31,34599.0,0.022787834236883242
2020-03-03 10:00:00-05:00,2020-03-03,31,1,305.94,312.82,305.82,312.71,5869100.0,0.022128521932405
2008-10-10 15:40:00-04:00,2008-10-10,371,0,91.81,91.91,89.9,89.96,52417.0,-0.020577027762656463
2010-05-06 14:44:00-04:00,2010-05-06,315,0,110.43,113.57,108.58,108.69,91129.0,-0.019662667989537308
2008-10-10 09:36:00-04:00,2008-10-10,7,0,85.35,85.38,83.58,83.79,64199.0,-0.018277680140597385
2008-10-10 15:35:00-04:00,2008-10-10,366,0,91.85,93.47,91.77,93.46,43232.0,0.01752857920522599
2025-04-07 10:10:00-04:00,2025-04-07,41,1,494.53,502.42,494.39,502.3837,1900894.0,0.01579897688901477
2008-10-10 09:44:00-04:00,2008-10-10,15,0,88.15,89.54,87.75,89.51,49696.0,0.015428247305728782
2025-04-07 11:14:00-04:00,2025-04-07,105,1,503.78,504.48,495.07,496.34,3594957.0,-0.01478790765993776
2008-09-29 13:46:00-04:00,2008-09-29,257,0,112.64,114.29,111.01,111.57,57225.0,-0.014660425682239797
2008-09-29 14:08:00-04:00,2008-09-29,279,0,114.33,114.38,111.71,112.7,51542.0,-0.014256975422023976
2008-10-10 09:38:00-04:00,2008-10-10,9,0,84.4,85.59,84.31,85.57,47936.0,0.014102867978193823
2025-04-07 10:18:00-04:00,2025-04-07,49,1,523.01,523.09,515.56,515.64,2471924.0,-0.014053806000114744
2020-03-26 15:50:00-04:00,2020-03-26,381,1,257.16,261.43,257.16,260.74,5779583.0,0.014000155557283955
2025-04-09 13:20:00-04:00,2025-04-09,231,1,512.42,522.29,507.3,519.85,3030132.0,0.013748049921997074
2010-05-06 14:50:00-04:00,2010-05-06,321,0,112.02,112.35,109.65,110.5,18691.0,-0.01365705614567525
2009-03-18 14:17:00-04:00,2009-03-18,288,0,78.27,79.53,78.27,79.33,90135.0,0.01354286444359265
2020-03-17 15:59:00-04:00,2020-03-17,390,1,250.9,254.45,250.5401,254.19,4512448.0,0.013072416404288356
2025-04-07 10:13:00-04:00,2025-04-07,44,1,510.65,517.33,509.98,517.22,2300484.0,0.012965139052095509
2008-09-16 14:14:00-04:00,2008-09-16,285,0,119.96,120.54,118.0,118.4,59005.0,-0.012922050854522693
2008-10-10 15:12:00-04:00,2008-10-10,343,0,87.46,88.61,85.55,88.59,49143.0,0.0129201920878117
2025-04-09 13:28:00-04:00,2025-04-09,239,1,531.79,531.7951,524.94,525.16,2117758.0,-0.012467327328456679
2020-03-16 15:44:00-04:00,2020-03-16,375,1,243.135,246.27,242.82,246.17,2185435.0,0.012461956074689473
2008-10-10 10:07:00-04:00,2008-10-10,38,0,90.75,91.93,90.74,91.89,40173.0,0.012450418686646092
2008-11-24 15:52:00-05:00,2008-11-24,383,0,85.32,85.47,84.1,84.26,68442.0,-0.01230805298323756
2008-11-24 15:53:00-05:00,2008-11-24,384,0,84.25,85.32,84.24,85.29,88425.0,0.012224068359838691
2020-03-18 15:59:00-04:00,2020-03-18,390,1,238.08,241.87,237.76,241.01,4356950.0,0.012179244886816987
2008-10-29 15:53:00-04:00,2008-10-29,384,0,95.5,95.64,94.2,94.37,68620.0,-0.011832460732984273
2008-10-10 10:34:00-04:00,2008-10-10,65,0,89.25,89.25,88.11,88.21,21770.0,-0.011763387855702523
2022-11-02 14:36:00-04:00,2022-11-02,307,1,388.46,388.47,383.9,383.94,2048060.0,-0.01153390659595288
2020-03-12 09:51:00-04:00,2020-03-12,22,1,253.84,253.94,250.92,251.02,1611287.0,-0.01145985114007797
2020-03-18 15:57:00-04:00,2020-03-18,388,1,239.85,240.19,236.53,237.16,3435962.0,-0.01125656633035943
2008-10-29 15:59:00-04:00,2008-10-29,390,0,92.88,93.37,92.1,92.31,119606.0,-0.01124678663239076
2008-10-10 09:54:00-04:00,2008-10-10,25,0,88.35,89.5,88.29,89.33,30931.0,0.01109224674589715
2008-10-10 09:55:00-04:00,2008-10-10,26,0,89.34,89.4,88.19,88.34,25217.0,-0.011082503078473027
2025-04-07 13:00:00-04:00,2025-04-07,211,1,495.63,503.08,495.59,501.16,1524637.0,0.01105551969012275
