session_date,minute_of_session,usable_observation,bar_present,sigma_history_valid,prior_14_eligible_usable,band_warm
2008-01-22,30,True,True,False,0,False
2008-01-22,60,True,True,False,0,False
2008-01-22,90,True,True,False,0,False
2008-01-22,120,True,True,False,0,False
2008-01-22,150,True,True,False,0,False
2008-01-22,180,True,True,False,0,False
2008-01-22,210,True,True,False,0,False
2008-01-22,240,True,True,False,0,False
2008-01-22,270,True,True,False,0,False
2008-01-22,300,True,True,False,0,False
2008-01-22,330,True,True,False,0,False
2008-01-22,360,True,True,False,0,False
2008-01-22,390,True,True,False,0,False
2008-01-23,30,True,True,False,1,False
2008-01-23,60,True,True,False,1,False
2008-01-23,90,True,True,False,1,False
2008-01-23,120,True,True,False,1,False
2008-01-23,150,True,True,False,1,False
2008-01-23,180,True,True,False,1,False
2008-01-23,210,True,True,False,1,False
2008-01-23,240,True,True,False,1,False
2008-01-23,270,True,True,False,1,False
2008-01-23,300,True,True,False,1,False
2008-01-23,330,True,True,False,1,False
2008-01-23,360,True,True,False,1,False
2008-01-23,390,True,True,False,1,False
2008-01-24,30,True,True,False,2,False
2008-01-24,60,True,True,False,2,False
2008-01-24,90,True,True,False,2,False
2008-01-24,120,True,True,False,2,False
2008-01-24,150,True,True,False,2,False
2008-01-24,180,True,True,False,2,False
2008-01-24,210,True,True,False,2,False
2008-01-24,240,True,True,False,2,False
2008-01-24,270,True,True,False,2,False
2008-01-24,300,True,True,False,2,False
2008-01-24,330,True,True,False,2,False
2008-01-24,360,True,True,False,2,False
2008-01-24,390,True,True,False,2,False
2008-01-25,30,True,True,False,3,False
2008-01-25,60,True,True,False,3,False
2008-01-25,90,True,True,False,3,False
2008-01-25,120,True,True,False,3,False
2008-01-25,150,True,True,False,3,False
2008-01-25,180,True,True,False,3,False
2008-01-25,210,True,True,False,3,False
2008-01-25,240,True,True,False,3,False
2008-01-25,270,True,True,False,3,False
2008-01-25,300,True,True,False,3,False
2008-01-25,330,True,True,False,3,False
2008-01-25,360,True,True,False,3,False
2008-01-25,390,True,True,False,3,False
2008-01-28,30,True,True,False,4,False
2008-01-28,60,True,True,False,4,False
2008-01-28,90,True,True,False,4,False
2008-01-28,120,True,True,False,4,False
2008-01-28,150,True,True,False,4,False
2008-01-28,180,True,True,False,4,False
2008-01-28,210,True,True,False,4,False
2008-01-28,240,True,True,False,4,False
2008-01-28,270,True,True,False,4,False
2008-01-28,300,True,True,False,4,False
2008-01-28,330,True,True,False,4,False
2008-01-28,360,True,True,False,4,False
2008-01-28,390,True,True,False,4,False
2008-01-29,30,True,True,False,5,False
2008-01-29,60,True,True,False,5,False
2008-01-29,90,True,True,False,5,False
2008-01-29,120,True,True,False,5,False
2008-01-29,150,True,True,False,5,False
2008-01-29,180,True,True,False,5,False
2008-01-29,210,True,True,False,5,False
2008-01-29,240,True,True,False,5,False
2008-01-29,270,True,True,False,5,False
2008-01-29,300,True,True,False,5,False
2008-01-29,330,True,True,False,5,False
2008-01-29,360,True,True,False,5,False
2008-01-29,390,True,True,False,5,False
2008-01-30,30,True,True,False,6,False
2008-01-30,60,True,True,False,6,False
2008-01-30,90,True,True,False,6,False
2008-01-30,120,True,True,False,6,False
2008-01-30,150,True,True,False,6,False
2008-01-30,180,True,True,False,6,False
2008-01-30,210,True,True,False,6,False
2008-01-30,240,True,True,False,6,False
2008-01-30,270,True,True,False,6,False
2008-01-30,300,True,True,False,6,False
2008-01-30,330,True,True,False,6,False
2008-01-30,360,True,True,False,6,False
2008-01-30,390,True,True,False,6,False
2008-01-31,30,True,True,False,7,False
2008-01-31,60,True,True,False,7,False
2008-01-31,90,True,True,False,7,False
2008-01-31,120,True,True,False,7,False
2008-01-31,150,True,True,False,7,False
2008-01-31,180,True,True,False,7,False
2008-01-31,210,True,True,False,7,False
2008-01-31,240,True,True,False,7,False
2008-01-31,270,True,True,False,7,False
2008-01-31,300,True,True,False,7,False
2008-01-31,330,True,True,False,7,False
2008-01-31,360,True,True,False,7,False
2008-01-31,390,True,True,False,7,False
2008-02-01,30,True,True,False,8,False
2008-02-01,60,True,True,False,8,False
2008-02-01,90,True,True,False,8,False
2008-02-01,120,True,True,False,8,False
2008-02-01,150,True,True,False,8,False
2008-02-01,180,True,True,False,8,False
2008-02-01,210,True,True,False,8,False
2008-02-01,240,True,True,False,8,False
2008-02-01,270,True,True,False,8,False
2008-02-01,300,True,True,False,8,False
2008-02-01,330,True,True,False,8,False
2008-02-01,360,True,True,False,8,False
2008-02-01,390,True,True,False,8,False
2008-02-04,30,True,True,False,9,False
2008-02-04,60,True,True,False,9,False
2008-02-04,90,True,True,False,9,False
2008-02-04,120,True,True,False,9,False
2008-02-04,150,True,True,False,9,False
2008-02-04,180,True,True,False,9,False
2008-02-04,210,True,True,False,9,False
2008-02-04,240,True,True,False,9,False
2008-02-04,270,True,True,False,9,False
2008-02-04,300,True,True,False,9,False
2008-02-04,330,True,True,False,9,False
2008-02-04,360,True,True,False,9,False
2008-02-04,390,True,True,False,9,False
2008-02-05,30,True,True,False,10,False
2008-02-05,60,True,True,False,10,False
2008-02-05,90,True,True,False,10,False
2008-02-05,120,True,True,False,10,False
2008-02-05,150,True,True,False,10,False
2008-02-05,180,True,True,False,10,False
2008-02-05,210,True,True,False,10,False
2008-02-05,240,True,True,False,10,False
2008-02-05,270,True,True,False,10,False
2008-02-05,300,True,True,False,10,False
2008-02-05,330,True,True,False,10,False
2008-02-05,360,True,True,False,10,False
2008-02-05,390,True,True,False,10,False
2008-02-06,30,True,True,False,11,False
2008-02-06,60,True,True,False,11,False
2008-02-06,90,True,True,False,11,False
2008-02-06,120,True,True,False,11,False
2008-02-06,150,True,True,False,11,False
2008-02-06,180,True,True,False,11,False
2008-02-06,210,True,True,False,11,False
2008-02-06,240,True,True,False,11,False
2008-02-06,270,True,True,False,11,False
