session_date,market_open,market_close,calendar_bars,scheduled_minutes,halt_minutes,required_minutes,observed_minutes,missing_required,present_during_halt,unexpected_minutes,leading_missing,interior_missing,trailing_missing,invalid_ohlc_rows,total_volume,open_valid,close_valid,quality,is_paper_ready,is_halt_usable,is_exploratory
2008-01-22,2008-01-22 14:30:00+00:00,2008-01-22 21:00:00+00:00,390,390,0,390,390,0,0,0,0,0,0,0,3430318.0,True,True,complete,True,True,True
2008-01-23,2008-01-23 14:30:00+00:00,2008-01-23 21:00:00+00:00,390,390,0,390,390,0,0,0,0,0,0,0,4012066.0,True,True,complete,True,True,True
2008-01-24,2008-01-24 14:30:00+00:00,2008-01-24 21:00:00+00:00,390,390,0,390,390,0,0,0,0,0,0,0,2223083.0,True,True,complete,True,True,True
2008-01-25,2008-01-25 14:30:00+00:00,2008-01-25 21:00:00+00:00,390,390,0,390,390,0,0,0,0,0,0,0,2283766.0,True,True,complete,True,True,True
2008-01-28,2008-01-28 14:30:00+00:00,2008-01-28 21:00:00+00:00,390,390,0,390,390,0,0,0,0,0,0,0,1862421.0,True,True,complete,True,True,True
2008-01-29,2008-01-29 14:30:00+00:00,2008-01-29 21:00:00+00:00,390,390,0,390,390,0,0,0,0,0,0,0,1369940.0,True,True,complete,True,True,True
2008-01-30,2008-01-30 14:30:00+00:00,2008-01-30 21:00:00+00:00,390,390,0,390,390,0,0,0,0,0,0,0,2886707.0,True,True,complete,True,True,True
2008-01-31,2008-01-31 14:30:00+00:00,2008-01-31 21:00:00+00:00,390,390,0,390,390,0,0,0,0,0,0,0,2615070.0,True,True,complete,True,True,True
2008-02-01,2008-02-01 14:30:00+00:00,2008-02-01 21:00:00+00:00,390,390,0,390,390,0,0,0,0,0,0,0,1672420.0,True,True,complete,True,True,True
2008-02-04,2008-02-04 14:30:00+00:00,2008-02-04 21:00:00+00:00,390,390,0,390,390,0,0,0,0,0,0,0,1043318.0,True,True,complete,True,True,True
