symbol,ex_date,cash_amount
SPY,2008-03-20,0.642
SPY,2008-06-20,0.669
SPY,2008-09-19,0.691
SPY,2008-12-19,0.719
SPY,2009-03-20,0.561
SPY,2009-06-19,0.518
SPY,2009-09-18,0.508
SPY,2009-12-18,0.59
SPY,2010-03-19,0.48
SPY,2010-06-18,0.531
SPY,2010-09-17,0.602
SPY,2010-12-17,0.653
SPY,2011-03-18,0.553
SPY,2011-06-17,0.628
SPY,2011-09-16,0.625
SPY,2011-12-16,0.77
SPY,2012-03-16,0.614
SPY,2012-06-15,0.688
SPY,2012-09-21,0.779
SPY,2012-12-21,1.022
SPY,2013-03-15,0.694
SPY,2013-06-21,0.839
SPY,2013-09-20,0.838
SPY,2013-12-20,0.98
SPY,2014-03-21,0.825
SPY,2014-06-20,0.937
SPY,2014-09-19,0.939
SPY,2014-12-19,1.135
SPY,2015-03-20,0.931
SPY,2015-06-19,1.03
SPY,2015-09-18,1.033
SPY,2015-12-18,1.212
SPY,2016-03-18,1.05
SPY,2016-06-17,1.078
SPY,2016-09-16,1.082
SPY,2016-12-16,1.329
SPY,2017-03-17,1.033
SPY,2017-06-16,1.183
SPY,2017-09-15,1.235
SPY,2017-12-15,1.351
SPY,2018-03-16,1.097
SPY,2018-06-15,1.246
SPY,2018-09-21,1.323
SPY,2018-12-21,1.435
SPY,2019-03-15,1.233
SPY,2019-06-21,1.432
SPY,2019-09-20,1.384
SPY,2019-12-20,1.57
SPY,2020-03-20,1.406
SPY,2020-06-19,1.366
SPY,2020-09-18,1.339
SPY,2020-12-18,1.58
SPY,2021-03-19,1.278
SPY,2021-06-18,1.376
SPY,2021-09-17,1.428
SPY,2021-12-17,1.633
SPY,2022-03-18,1.366
SPY,2022-06-17,1.577
SPY,2022-09-16,1.596
SPY,2022-12-16,1.781
SPY,2023-03-17,1.506
SPY,2023-06-16,1.638
SPY,2023-09-15,1.583
SPY,2023-12-15,1.906
SPY,2024-03-15,1.595
SPY,2024-06-21,1.759
SPY,2024-09-20,1.746
SPY,2024-12-20,1.966
SPY,2025-03-21,1.696
SPY,2025-06-20,1.761
SPY,2025-09-19,1.831
SPY,2025-12-19,1.993
SPY,2026-03-20,1.797
SPY,2026-06-18,1.904
