session_date,benchmark,benchmark_observation,benchmark_rate_percent,availability_policy,cash_rate_annual,funding_rate_annual,borrow_rate_annual
2007-04-25,USD_3M_LIBOR_PUBLIC_PROXY,2007-03,5.347145455,previous_completed_calendar_month,0.04847145455,0.06347145455,0.0025
2007-04-26,USD_3M_LIBOR_PUBLIC_PROXY,2007-03,5.347145455,previous_completed_calendar_month,0.04847145455,0.06347145455,0.0025
2007-04-27,USD_3M_LIBOR_PUBLIC_PROXY,2007-03,5.347145455,previous_completed_calendar_month,0.04847145455,0.06347145455,0.0025
2007-04-30,USD_3M_LIBOR_PUBLIC_PROXY,2007-03,5.347145455,previous_completed_calendar_month,0.04847145455,0.06347145455,0.0025
2007-05-01,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-02,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-03,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-04,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-07,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-08,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-09,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-10,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-11,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-14,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-15,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-16,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-17,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-18,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-21,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-22,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-23,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-24,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-25,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-29,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-30,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-05-31,USD_3M_LIBOR_PUBLIC_PROXY,2007-04,5.354764211,previous_completed_calendar_month,0.04854764211,0.06354764211,0.0025
2007-06-01,USD_3M_LIBOR_PUBLIC_PROXY,2007-05,5.358914286,previous_completed_calendar_month,0.04858914286,0.06358914286,0.0025
2007-06-04,USD_3M_LIBOR_PUBLIC_PROXY,2007-05,5.358914286,previous_completed_calendar_month,0.04858914286,0.06358914286,0.0025
2007-06-05,USD_3M_LIBOR_PUBLIC_PROXY,2007-05,5.358914286,previous_completed_calendar_month,0.04858914286,0.06358914286,0.0025
2007-06-06,USD_3M_LIBOR_PUBLIC_PROXY,2007-05,5.358914286,previous_completed_calendar_month,0.04858914286,0.06358914286,0.0025
2007-06-07,USD_3M_LIBOR_PUBLIC_PROXY,2007-05,5.358914286,previous_completed_calendar_month,0.04858914286,0.06358914286,0.0025
2007-06-08,USD_3M_LIBOR_PUBLIC_PROXY,2007-05,5.358914286,previous_completed_calendar_month,0.04858914286,0.06358914286,0.0025
2007-06-11,USD_3M_LIBOR_PUBLIC_PROXY,2007-05,5.358914286,previous_completed_calendar_month,0.04858914286,0.06358914286,0.0025
2007-06-12,USD_3M_LIBOR_PUBLIC_PROXY,2007-05,5.358914286,previous_completed_calendar_month,0.04858914286,0.06358914286,0.0025
