Date,Dividend
2007-06-15,0.03700
2007-09-21,0.02600
2007-12-21,0.05300
2008-03-20,0.03300
2008-06-20,0.03400
2008-09-19,0.02800
2008-12-19,0.04300
2009-03-20,0.04900
2009-06-19,0.04400
2009-09-18,0.04100
2009-12-18,0.07300
2010-03-19,0.05100
2010-06-18,0.08900
2010-06-25,0.08900
2010-09-17,0.11200
2010-12-17,0.10800
2011-03-18,0.07700
2011-06-17,0.12100
2011-09-16,0.10400
2011-12-16,0.16100
2011-12-27,0.04900
2012-03-16,0.11300
2012-06-15,0.14312
2012-09-21,0.20000
2012-12-21,0.36700
2013-03-15,0.15931
2013-06-21,0.22361
2013-09-20,0.23771
2013-12-20,0.27241
2014-02-27,0.37313
2014-03-21,0.20606
2014-06-20,0.24910
2014-09-19,0.23780
2014-12-19,0.38681
2015-03-20,0.24806
2015-06-19,0.25416
2015-09-18,0.26002
2015-12-18,0.34233
2016-03-18,0.31780
2016-06-17,0.28665
2016-09-16,0.29387
2016-12-16,0.35494
2017-03-17,0.27415
2017-06-16,0.37842
2017-09-18,0.31938
2017-12-18,0.32941
2018-03-19,0.27655
2018-06-18,0.37837
2018-09-24,0.32975
2018-12-24,0.42061
2019-03-18,0.32421
2019-06-24,0.41558
2019-09-23,0.38415
2019-12-23,0.45765
2020-03-23,0.36269
2020-06-22,0.42426
2020-09-21,0.38824
2020-12-21,0.56133
2021-03-22,0.39468
2021-06-21,0.39679
2021-09-20,0.41391
2021-12-20,0.49141
2022-03-21,0.43369
2022-06-21,0.52740
2022-09-19,0.51856
2022-12-19,0.65541
2023-03-20,0.47223
2023-06-20,0.50395
2023-09-18,0.53555
2023-12-18,0.80826
2023-12-27,0.21584
2024-03-18,0.57345
2024-06-24,0.76150
2024-09-23,0.67686
2024-12-23,0.83466
2025-03-24,0.71571
2025-06-23,0.59111
2025-09-22,0.69395
2025-12-22,0.79408
2026-03-23,0.73282
2026-06-22,0.81349
