effective_from,effective_to,rate_per_million,rate_decimal,source_url,notes
2008-01-22,2008-01-24,15.30,0.00001530,https://www.sec.gov/news/press/2007/2007-269.htm,Rate already in force at the data-v1.0 start; the next advisory says the new 11.00 rate begins 2008-01-25
2008-01-25,2008-03-31,11.00,0.00001100,https://www.sec.gov/news/press/2007/2007-270.htm,FY2008 annual rate
2008-04-01,2009-04-09,5.60,0.00000560,https://www.sec.gov/news/press/2009/2009-56.htm,FY2008 mid-year rate continued during FY2009 appropriations delay; the announced 9.30 rate never became effective
2009-04-10,2010-01-14,25.70,0.00002570,https://www.sec.gov/news/press/2009/2009-56.htm,FY2009 mid-year rate
2010-01-15,2010-03-31,12.70,0.00001270,https://www.sec.gov/news/press/2009/2009-270.htm,FY2010 annual rate
2010-04-01,2011-01-20,16.90,0.00001690,https://www.sec.gov/news/press/2010/2010-29.htm,FY2010 mid-year rate
2011-01-21,2012-02-20,19.20,0.00001920,https://www.sec.gov/news/press/2010/2010-255.htm,FY2011 annual rate; proposed FY2012 15.10 rate never became effective
2012-02-21,2012-03-31,18.00,0.00001800,https://www.sec.gov/news/press/2012/2012-15.htm,FY2012 annual rate
2012-04-01,2013-05-24,22.40,0.00002240,https://www.sec.gov/news/press/2012/2012-35.htm,FY2012 mid-year rate continued during FY2013 appropriations delay
2013-05-25,2014-03-17,17.40,0.00001740,https://www.sec.gov/news/press/2013/2013-74.htm,FY2013 annual rate
2014-03-18,2015-02-13,22.10,0.00002210,https://www.sec.gov/news/pressrelease/2014-30.html,FY2014 annual rate
2015-02-14,2016-02-15,18.40,0.00001840,https://www.sec.gov/news/pressrelease/2015-8.html,FY2015 annual rate
2016-02-16,2017-07-03,21.80,0.00002180,https://www.sec.gov/news/pressrelease/2016-2.html,FY2016 annual rate continued until FY2017 rate became effective
2017-07-04,2018-05-21,23.10,0.00002310,https://www.sec.gov/news/press-release/2017-111,FY2017 annual rate
2018-05-22,2019-04-15,13.00,0.00001300,https://www.sec.gov/news/press-release/2018-67,FY2018 annual rate
2019-04-16,2020-02-17,20.70,0.00002070,https://www.sec.gov/news/press-release/2019-30,FY2019 annual rate
2020-02-18,2021-02-24,22.10,0.00002210,https://www.sec.gov/news/press-release/2020-7,FY2020 annual rate
2021-02-25,2022-05-13,5.10,0.00000510,https://www.sec.gov/news/press-release/2021-8,FY2021 annual rate continued until FY2022 rate became effective
2022-05-14,2023-02-26,22.90,0.00002290,https://www.sec.gov/news/press-release/2022-60,FY2022 annual rate
2023-02-27,2024-05-21,8.00,0.00000800,https://www.sec.gov/news/press-release/2023-15,FY2023 rate continued through the first part of FY2024
2024-05-22,2025-05-13,27.80,0.00002780,https://www.sec.gov/rules-regulations/fee-rate-advisories/2024-2,FY2024 annual rate continued through 2025-05-13
2025-05-14,2026-04-03,0.00,0.00000000,https://www.sec.gov/rules-regulations/fee-rate-advisories/2025-2,SEC set the rate to zero after collecting the FY2025 target
2026-04-04,,20.60,0.00002060,https://www.sec.gov/rules-regulations/fee-rate-advisories/2026-2,FY2026 annual rate; first SPY trading session in this interval is 2026-04-06
