year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,yearly
2007,,,,,-3.4,2.9,1.9,1.0,0.7,-0.6,1.9,0.1,4.5
2008,5.1,-1.6,2.2,-1.3,8.6,5.3,7.3,4.7,5.5,8.3,3.6,3.0,63.4
2009,0.9,4.4,2.6,1.4,0.4,2.3,3.8,-5.4,0.2,9.9,-1.8,0.1,19.6
2010,7.3,-1.0,-3.1,2.5,-3.3,3.0,5.1,1.3,1.6,-4.8,-5.6,-0.8,1.3
2011,0.8,2.5,4.9,-5.5,-0.4,8.2,0.7,6.7,-0.8,3.0,1.8,1.7,25.7
2012,0.5,-4.6,-0.6,7.5,0.3,4.9,3.6,-0.6,4.2,2.9,-1.4,3.3,21.1
2013,-1.4,8.4,-5.8,6.4,-6.9,2.9,-5.8,-2.5,1.8,4.9,6.2,2.5,9.6
2014,4.6,2.2,1.2,3.0,-0.5,-1.6,4.9,-3.7,2.2,3.1,-1.1,-2.1,12.6
2015,-2.2,-1.3,8.5,-5.6,1.2,4.6,5.5,3.4,-0.4,-0.7,3.2,1.7,18.4
2016,-1.0,-1.9,1.3,-1.4,0.4,-7.3,-3.1,-5.2,8.4,-5.0,1.4,0.7,-12.8
2017,-3.3,0.9,1.7,-3.3,-2.4,0.4,-1.8,3.6,-1.1,2.9,-2.2,-2.3,-6.9
2018,3.5,8.9,7.2,3.5,-4.7,2.0,6.2,-1.7,-3.5,13.4,3.0,12.5,61.1
2019,0.9,-0.7,2.9,0.9,-5.1,-0.5,1.4,6.8,-1.4,2.6,-1.7,1.0,6.9
2020,5.3,1.9,-0.5,-1.8,-0.2,8.0,0.1,-1.8,14.3,2.8,-1.1,-1.9,26.8
2021,7.8,3.1,0.7,6.1,2.6,-1.0,2.8,1.7,2.8,3.3,-3.2,4.1,34.8
2022,-5.5,2.8,0.2,9.0,2.1,0.5,0.2,6.3,-1.0,5.8,1.6,0.7,24.4
2023,2.9,-1.3,7.8,1.8,2.9,4.1,2.2,6.0,2.9,-1.1,0.5,3.8,37.2
2024,8.8,-1.5,-0.4,5.8,-4.3,1.6,8.2,-2.8,4.1,6.7,-2.6,5.7,32.2
2025,-1.2,7.6,-0.2,4.3,-2.1,-2.0,-2.0,-2.9,,,,,1.0
