cell_id,profile,tier,dividend_mode,slippage_per_share,subperiod,component,bucket,value,unit,observations
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,long_vs_short,long_gross_pnl,754509.4055000035,USD,
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,long_vs_short,short_gross_pnl,529243.8642999986,USD,
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,signal_count,all,58452.0,signals,
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,average_holding_minutes,active_session,168.46578366445917,minutes,2718.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,turnover,traded_notional_over_average_aum,15344.5197497496,ratio,
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,gross_edge_per_traded_share,all,0.04179113431218047,USD_per_share,
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,cost_per_traded_share,execution,0.006,USD_per_share,
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,cost_per_traded_share,financing_and_borrow,0.0002664934816615683,USD_per_share,
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,entry_time_bucket,open_1_120,701820.5785999979,gross_USD,1948.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,entry_time_bucket,midday_121_270,376697.98830000235,gross_USD,1210.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,entry_time_bucket,close_271_plus,205234.70290000198,gross_USD,763.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,volatility_regime_quintile,Q1,77594.09230000302,gross_USD,734.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,volatility_regime_quintile,Q2,542381.2434999994,gross_USD,775.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,volatility_regime_quintile,Q3,204378.4113999983,gross_USD,783.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,volatility_regime_quintile,Q4,178547.4868,gross_USD,833.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,volatility_regime_quintile,Q5,280852.03580000123,gross_USD,796.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,pre_publication,long_vs_short,long_gross_pnl,552528.5462000001,USD,
