period,start,end,complete,event,strategy,trading_only,benchmark,mdd,active_sessions,sessions,contrib_long,contrib_short,contrib_commission,contrib_slippage,contrib_cash_interest,contrib_funding,contrib_borrow
2007,2007-04-25,2007-12-31,True,,0.15230151059443253,0.11773551672915872,0.10952088019646422,-0.02588216092814366,34,157,0.03827727303448186,0.09427460479843838,-0.00804760437151977,-0.005748288836799833,0.03368755759057605,-0.0001219839413100173,-2.004767943667072e-05
2008,2008-01-02,2008-12-31,True,,0.09398870003732918,0.06429446041634734,-0.41564185852420044,-0.13907874770731365,170,253,-0.033625768291134187,0.18901907115443622,-0.05338306639040732,-0.03813076170743381,0.030478138486216708,-0.00027239157683505794,-9.652163751159102e-05
2009,2009-01-02,2009-12-31,True,,-0.04836197639509254,-0.051427034273418326,0.5430956525323276,-0.1070335419767795,157,252,-0.05235616478658962,0.11029522555034425,-0.06363505322146826,-0.045453609443905904,0.003109367988925664,-0.00022658615900004325,-9.515632339859319e-05
2010,2010-01-04,2010-12-31,True,,-0.15282191020794855,-0.15141058381725025,0.20003226835670374,-0.24391851269332643,145,252,0.016361148882838496,-0.07535797006002365,-0.05364832486578864,-0.03832023204699187,-0.001422315057199151,-0.00032614855130457606,-0.0001080685094805714
2011,2011-01-03,2011-12-30,True,,0.047716258861509875,0.04971740215279841,0.036045534439179905,-0.12536701265848882,160,252,0.06499128276783316,0.07639969172355093,-0.053321236417781005,-0.03808659744127216,-0.0018664453212756044,-0.00028201883446449293,-0.00011841761508237325
2012,2012-01-03,2012-12-31,True,,0.25588676185582737,0.2565428573895161,0.1774210718753111,-0.04770798098096107,152,250,0.21349904647852486,0.1547603944585009,-0.06474887573018323,-0.04624919695013089,-0.0005305422147081745,-0.0007021493623704831,-0.00014191482380496794
2013,2013-01-02,2013-12-31,True,,0.0931757673883653,0.09536422424968238,0.367841397351639,-0.1655992187208447,116,215,0.0731915863382665,0.09880630502777996,-0.044373435487771305,-0.0316953110626938,-0.002094790181536274,-0.0005486153202172885,-0.0001099719254621526
2014,2014-01-02,2014-12-31,True,,0.13573500935409144,0.13876113244110932,0.19354140850620882,-0.1000117014251879,137,238,0.1167572518653045,0.09633103075969073,-0.04316805133046719,-0.030834322378905155,-0.002668102708766305,-0.0005211871694746147,-0.00016160968329037182
2015,2015-01-02,2015-12-31,True,,0.3189092227829493,0.3217920826155891,0.09581554382014645,-0.07305845650256981,143,252,0.18033257376462192,0.1995939294444597,-0.0337181121414536,-0.024084365815323996,-0.0026051061077562053,-0.00043718260218107534,-0.00017251375941875196
2016,2016-01-04,2016-12-30,True,,-0.17351312630012428,-0.17517558474062833,0.0691278345786599,-0.25646995964960284,148,238,-0.04007153434778603,-0.08083051143923495,-0.03140168020256465,-0.022429771573260454,0.00193051816090145,-0.00058057033197302,-0.00012957656620944034
2017,2017-01-03,2017-12-27,False,,0.08409088244152141,0.07706198586343005,0.3275469489668259,-0.11012861072679503,129,217,0.05794654600539729,0.07554044010276428,-0.03208492345924298,-0.022917802470887854,0.006907411591803671,-0.0011678374218770124,-0.00013295190643471472
2018,2018-01-19,2018-12-31,False,,0.5556117566861074,0.52911159411417,-0.008098828081837262,-0.11664122265243027,135,239,0.08405643674980978,0.48940543359309757,-0.022252318403693277,-0.0158945131454952,0.021621831670949238,-0.0011829558422770598,-0.00014215793628382013
2019,2019-01-02,2019-12-31,True,,0.08432256748820421,0.06590257454171122,0.398679558110272,-0.06044061581001914,129,224,0.12499527669398527,-0.027682641888904,-0.016927183215476004,-0.012090845153911428,0.01731521129473098,-0.0011740734192546842,-0.00011317682296691421
2020,2020-01-02,2020-12-31,True,,0.29688208019089135,0.29308747367060195,0.4871623503077158,-0.04356294892529833,143,253,0.05512026121823845,0.2542602426714176,-0.009329207691990915,-0.0066637197799935145,0.003895439257212316,-0.00032980725158828845,-7.112823240141484e-05
2021,2021-01-04,2021-12-31,True,,0.235969237782504,0.24004089696841202,0.2726008561519746,-0.06657494399604003,131,238,0.22313664048268678,0.0322215029462931,-0.008875368025867556,-0.006339548589905399,-0.003602849965158126,-0.00045694926216229893,-0.00011418980338038983
2022,2022-01-03,2022-12-30,True,,0.21096394534204443,0.19242824942957015,-0.32533653521107997,-0.06407938921702405,171,251,0.14584172540409995,0.06164596202107887,-0.00699237449743889,-0.004994553212456352,0.01567852138590278,-0.00012479480126639138,-9.054095787672276e-05
2023,2023-01-03,2023-12-29,True,,0.3372997655996337,0.2755399371434297,0.5474534676625762,-0.06468894549415827,148,250,0.262937025190814,0.03855548712859265,-0.009159650190154888,-0.0065426072786820616,0.05348365105636148,-0.0018753090659518793,-9.883124134582592e-05
2024,2024-01-02,2024-12-31,True,,0.41576057595352167,0.3490338794863501,0.256323142850974,-0.04148095882096392,149,252,0.2129143027607849,0.15947041031591902,-0.008053106811969449,-0.005752219151406752,0.059773184645163416,-0.002450452111340279,-0.00014154369363445025
2025,2025-01-02,2025-12-31,True,,0.03586584166163198,-0.0035083483332504217,0.20852417388522837,-0.13070219292763474,133,250,0.05123963616283608,-0.043525103954937173,-0.005132409090249596,-0.003666006493035426,0.0383601729708339,-0.0013000052214855163,-0.00011044271232802907
2026,2026-01-02,2026-07-31,True,,0.0855341055200185,0.06542104304252949,0.12425662205420673,-0.07030371316941042,88,145,0.016017845856686426,0.05475521565893309,-0.0027888930805220133,-0.0019920664860871525,0.02026093258531435,-0.0006566923129979333,-6.223670130671973e-05
