cell_id,profile,tier,dividend_mode,slippage_per_share,subperiod,component,bucket,value,unit,observations
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,entry_time_bucket,open_1_120,701820.5785999979,gross_USD,1948.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,entry_time_bucket,midday_121_270,376697.9883000024,gross_USD,1210.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,entry_time_bucket,close_271_plus,205234.702900002,gross_USD,763.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,volatility_regime_quintile,Q1,77594.09230000302,gross_USD,734.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,volatility_regime_quintile,Q2,542381.2434999994,gross_USD,775.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,volatility_regime_quintile,Q3,204378.4113999983,gross_USD,783.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,volatility_regime_quintile,Q4,178547.4868,gross_USD,833.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,full_sample,volatility_regime_quintile,Q5,280852.03580000123,gross_USD,796.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,pre_publication,entry_time_bucket,open_1_120,397304.0717000007,gross_USD,1710.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,pre_publication,entry_time_bucket,midday_121_270,272751.7760000002,gross_USD,1082.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,pre_publication,entry_time_bucket,close_271_plus,258559.5316999997,gross_USD,666.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,pre_publication,volatility_regime_quintile,Q1,130479.3470000031,gross_USD,683.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,pre_publication,volatility_regime_quintile,Q2,228947.46479999917,gross_USD,667.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,pre_publication,volatility_regime_quintile,Q3,236271.9523999982,gross_USD,674.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,pre_publication,volatility_regime_quintile,Q4,168133.36769999936,gross_USD,694.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,pre_publication,volatility_regime_quintile,Q5,164783.2475000008,gross_USD,740.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,post_publication,entry_time_bucket,open_1_120,304516.50689999724,gross_USD,238.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,post_publication,entry_time_bucket,midday_121_270,103946.21230000212,gross_USD,128.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,post_publication,entry_time_bucket,close_271_plus,-53324.828799997726,gross_USD,97.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,post_publication,volatility_regime_quintile,Q1,-52885.25470000002,gross_USD,51.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,post_publication,volatility_regime_quintile,Q2,313433.7787000003,gross_USD,108.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,post_publication,volatility_regime_quintile,Q3,-31893.540999999896,gross_USD,109.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,post_publication,volatility_regime_quintile,Q4,10414.119100000671,gross_USD,139.0
corrected_execution__halt_aware__with_dividends__slip_0p0025,corrected_execution,halt_aware,with_dividends,0.0025,post_publication,volatility_regime_quintile,Q5,116068.78830000048,gross_USD,56.0
