cell_id,session_date,direction,entry_minute,entry_price,shares,gross,holding_minutes,exit_minute,exit_price,exit_reason
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-10-12,long,31,53.11,4563,1779.5700000000024,360.0,390,53.5,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-10-15,short,91,53.35,4269,1152.6300000000128,300.0,390,53.08,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-10-19,short,31,53.44,4013,3940.766,360.0,390,52.458,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-10-22,long,31,52.66,3525,-387.74999999999807,60.0,91,52.55,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-10-22,long,121,52.69,3525,315.48750000000354,210.0,331,52.7795,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-10-24,short,91,53.28,3103,93.09000000000302,240.0,331,53.25,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-10-25,short,31,53.3,3023,-1243.9645000000119,30.0,61,53.7115,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-10-25,short,151,53.15,3023,-423.2200000000016,180.0,331,53.29,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-10-25,short,361,53.16,3023,-90.69000000000331,30.0,390,53.19,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-01,short,361,54.2,3112,407.6720000000008,30.0,390,54.069,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-02,short,31,53.851,3017,-178.0029999999923,30.0,61,53.91,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-07,short,361,53.78,3080,1355.1999999999932,30.0,390,53.34,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-08,short,31,52.77,2822,1777.860000000004,330.0,361,52.14,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-09,short,91,50.49,2903,-232.23999999999495,30.0,121,50.57,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-12,short,271,49.43,2601,1690.3899000000063,120.0,390,48.7801,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-13,long,61,49.72,2804,-28.03999999999496,150.0,211,49.71,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-13,long,241,49.94,2804,2271.2400000000075,150.0,390,50.75,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-16,short,61,49.4401,2273,-477.10269999999446,30.0,91,49.65,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-19,short,121,49.78,2223,-377.91000000000383,60.0,181,49.95,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-19,short,211,49.76,2223,-266.76000000001017,90.0,301,49.88,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-20,long,31,50.39,2222,88.87999999999793,120.0,151,50.43,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-20,short,301,49.21,2222,-599.9399999999912,60.0,361,49.48,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-21,short,91,49.04,2300,-454.0200000000041,30.0,121,49.2374,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-23,long,181,49.9,2300,-322.0000000000013,30.0,210,49.76,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-26,long,31,50.2801,2258,-474.40579999999346,30.0,61,50.07,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-26,short,361,49.2499,2258,744.9141999999887,30.0,390,48.92,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-27,long,91,49.96,2267,-725.4400000000005,180.0,271,49.64,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-28,long,61,50.9299,2088,1378.2887999999998,330.0,390,51.59,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-11-30,short,181,51.39,2022,-242.6399999999948,30.0,211,51.51,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-12-05,long,121,51.71,3075,-738.0000000000063,180.0,301,51.47,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-12-06,long,361,52.17,2928,439.19999999999584,30.0,390,52.32,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-12-11,short,301,52.1,3060,2356.20000000001,90.0,390,51.33,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-12-13,short,91,51.02,2928,-292.79999999998336,30.0,121,51.12,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-12-17,short,61,50.58,3068,-30.98680000000408,30.0,91,50.5901,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-12-17,short,121,50.41,3068,1963.5199999999804,270.0,390,49.77,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-12-18,short,151,49.36,3024,-362.87999999999226,60.0,211,49.48,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-12-19,long,31,50.06,3785,0.0,30.0,61,50.06,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-12-24,long,31,52.17,3183,159.14999999999094,60.0,91,52.22,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-12-26,long,271,52.54,3180,159.00000000001356,60.0,331,52.59,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-12-27,short,181,52.11,3410,-5.684341886080802e-14,30.0,211,52.11,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-12-28,short,211,51.48,3403,-340.30000000000473,30.0,241,51.58,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2007-12-31,short,181,51.3,3427,-203.56380000001258,30.0,211,51.3594,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-02,long,31,51.3701,3385,-508.0885000000064,30.0,61,51.22,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-02,short,91,50.95,3385,1861.7500000000164,300.0,390,50.4,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-03,short,31,50.29,3678,-386.19000000001495,30.0,61,50.395,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-04,short,31,49.62,3767,4821.759999999981,360.0,390,48.34,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-07,long,31,48.5201,3091,-1916.7291000000023,30.0,61,47.9,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-07,short,61,47.9,3091,-1514.590000000006,90.0,151,48.39,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-07,short,301,47.9001,3091,-803.350899999984,90.0,390,48.16,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-08,long,61,48.6,3001,-180.06000000000694,30.0,91,48.54,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-08,long,301,48.71,3001,-1680.560000000007,30.0,331,48.15,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-08,short,361,47.44,3001,1296.4319999999852,30.0,390,47.008,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-09,long,31,47.31,3066,-337.2599999999985,30.0,61,47.2,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-09,long,91,47.4099,3066,-858.1733999999932,30.0,121,47.13,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-11,short,61,47.46,2807,-56.13999999998876,30.0,91,47.48,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-11,short,121,47.38,2807,-336.83999999999276,30.0,151,47.5,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-11,short,181,47.32,2807,-254.03349999999637,30.0,211,47.4105,scheduled_fill
