ex_date,div,vendor_open_gap_pct,yh_raw_open_gap_pct
2007-06-15,0.037,0.8267,0.8446
2007-09-21,0.026,0.5399,0.4997
2007-12-21,0.053,1.5341,1.5324
2008-03-20,0.033,0.1182,0.213
2008-06-20,0.034,-0.9022,-0.9022
2008-09-19,0.028,5.5101,5.2923
2008-12-19,0.043,1.0807,0.9103
2009-03-20,0.049,-0.1012,0.0337
2009-06-19,0.044,0.53,0.6421
2009-09-18,0.041,0.4246,0.3065
2009-12-18,0.073,0.7527,0.7759
2010-03-19,0.051,0.248,0.1882
2010-06-18,0.089,0.0212,0.0
2010-06-25,0.089,0.4636,0.3528
2010-09-17,0.112,0.4798,0.4172
2010-12-17,0.108,-0.0183,-0.0733
2011-03-18,0.077,1.0062,1.043
2011-06-17,0.121,0.6473,0.5917
2011-09-16,0.104,0.2584,0.0356
2011-12-16,0.161,0.4111,0.2375
2011-12-27,0.049,-0.116,-0.1605
2012-03-16,0.113,-0.015,-0.015
2012-06-15,0.14312,-0.0641,0.0481
2012-09-21,0.2,0.3274,0.2133
2012-12-21,0.367,-2.0525,-2.0827
2013-03-15,0.15931,-0.1888,-0.1597
2013-06-21,0.22361,-0.169,-0.352
2013-09-20,0.23771,-0.0252,-0.0629
2013-12-20,0.27241,-0.192,-0.1281
2014-02-27,0.37313,-0.3935,-0.399
2014-03-21,0.20606,0.4654,0.3433
2014-06-20,0.2491,-0.14,-0.226
2014-09-19,0.2378,0.2095,0.1795
2014-12-19,0.38681,-0.2975,-0.2686
2015-03-20,0.24806,0.5644,0.5922
2015-06-19,0.25416,-0.1447,-0.1807
2015-09-18,0.26002,-1.653,-1.7735
2015-12-18,0.34233,-0.818,-0.6143
2016-03-18,0.3178,-0.1301,-0.0558
2016-06-17,0.28665,-0.5043,-0.472
2016-09-16,0.29387,-0.3229,-0.357
2016-12-16,0.35494,-0.0997,-0.0498
2017-03-17,0.27415,-0.0379,-0.0833
2017-06-16,0.37842,-0.266,-0.3234
2017-09-18,0.31938,-0.0582,-0.1027
2017-12-18,0.32941,0.5174,0.4504
2018-03-19,0.27655,-1.2148,-1.1227
2018-06-18,0.37837,-0.8419,-0.8419
2018-09-24,0.32975,-0.8172,-0.9036
2018-12-24,0.42061,-1.1305,-1.0097
2019-03-18,0.32421,-0.1739,-0.2243
2019-06-24,0.41558,-0.1033,-0.0212
2019-09-23,0.38415,-0.3977,-0.2306
2019-12-23,0.45765,0.0968,0.137
2020-03-23,0.36269,0.1405,0.1289
2020-06-22,0.42426,-0.2822,-0.2293
2020-09-21,0.38824,-1.6415,-1.6487
2020-12-21,0.56133,-1.0937,-1.1611
2021-03-22,0.39468,0.5291,0.661
2021-06-21,0.39679,-0.1924,-0.0584
2021-09-20,0.41391,-1.727,-1.704
2021-12-20,0.49141,-1.5996,-1.3873
2022-03-21,0.43369,-0.3673,-0.367
2022-06-21,0.5274,1.3582,1.478
2022-09-19,0.51856,-1.1532,-1.113
2022-12-19,0.65541,-0.2186,-0.1386
2023-03-20,0.47223,-0.3047,-0.3602
2023-06-20,0.50395,-0.4989,-0.5381
2023-09-18,0.53555,-0.4301,-0.4018
2023-12-18,0.80826,-0.143,-0.1012
2023-12-27,0.21584,0.0353,0.017
2024-03-18,0.57345,1.0836,1.1085
2024-06-24,0.7615,-0.4249,-0.4165
2024-09-23,0.67686,0.1161,0.1057
2024-12-23,0.83466,0.2451,0.1716
2025-03-24,0.71571,1.4009,1.435
2025-06-23,0.59111,0.0475,-0.0038
2025-09-22,0.69395,-0.3733,-0.2686
2025-12-22,0.79408,0.7377,0.6969
2026-03-23,0.73282,1.5434,1.4535
2026-06-22,0.81349,0.1059,0.189
