max_lag_sessions,period,confidence_level,point,hac_se,ci_low,ci_high,one_sided_p_decline,two_sided_p_difference
0,pre_publication,0.9,0.9949436899771652,0.2336073524702998,0.6106937889838617,1.3791935909704687,,
0,pre_publication,0.95,0.9949436899771652,0.2336073524702998,0.5370816926116238,1.4528056873427067,,
0,post_publication,0.9,0.9942712834613442,0.6256210222081687,-0.034783724014849304,2.0233262909375376,,
0,post_publication,0.95,0.9942712834613442,0.6256210222081687,-0.23192338803779966,2.220465954960488,,
0,pre_minus_post,0.9,0.0006724065158210113,0.6678128918768915,-1.0977820508128349,1.0991268638444769,0.49959831361940504,0.9991966272388101
0,pre_minus_post,0.95,0.0006724065158210113,0.6678128918768915,-1.3082168099744274,1.3095616230060694,0.49959831361940504,0.9991966272388101
5,pre_publication,0.9,0.9949436899771652,0.2241622553994554,0.6262295911577489,1.3636577887965815,,
5,pre_publication,0.95,0.9949436899771652,0.2241622553994554,0.5555937427009634,1.434293637253367,,
5,post_publication,0.9,0.9942712834613442,0.5882231271520837,0.02673033930850277,1.9618122276141856,,
5,post_publication,0.95,0.9942712834613442,0.5882231271520837,-0.15862486063026437,2.1471674275529526,,
5,pre_minus_post,0.9,0.0006724065158210113,0.6294880174096621,-1.0347432420429528,1.0360880550745948,0.49957385791254705,0.9991477158250941
5,pre_minus_post,0.95,0.0006724065158210113,0.6294880174096621,-1.233101436306639,1.234446249338281,0.49957385791254705,0.9991477158250941
10,pre_publication,0.9,0.9949436899771652,0.2265894095588165,0.6222372778355534,1.367650102118777,,
10,pre_publication,0.95,0.9949436899771652,0.2265894095588165,0.550836607963689,1.4390507719906414,,
10,post_publication,0.9,0.9942712834613442,0.5830458859238243,0.03524614332040776,1.9532964236022807,,
10,post_publication,0.95,0.9942712834613442,0.5830458859238243,-0.14847765428360005,2.1370202212062885,,
10,pre_minus_post,0.9,0.0006724065158210113,0.6255279894752195,-1.0282295757321556,1.0295743887637976,0.4995711601373063,0.9991423202746126
10,pre_minus_post,0.95,0.0006724065158210113,0.6255279894752195,-1.2253399241773588,1.2266847372090008,0.4995711601373063,0.9991423202746126
20,pre_publication,0.9,0.9949436899771652,0.23608424255923433,0.6066196673375177,1.3832677126168127,,
20,pre_publication,0.95,0.9949436899771652,0.23608424255923433,0.5322270772436478,1.4576603027106825,,
20,post_publication,0.9,0.9942712834613442,0.5693881041494245,0.05771119520814105,1.9308313717145473,,
20,post_publication,0.95,0.9942712834613442,0.5693881041494245,-0.12170889389706885,2.1102514608197573,,
20,pre_minus_post,0.9,0.0006724065158210113,0.6163915823010916,-1.013201523254486,1.014546336286128,0.4995648037006388,0.9991296074012777
20,pre_minus_post,0.95,0.0006724065158210113,0.6163915823010916,-1.207432895167975,1.208777708199617,0.4995648037006388,0.9991296074012777
40,pre_publication,0.9,0.9949436899771652,0.24232584558206058,0.5963531439674306,1.3935342359868998,,
40,pre_publication,0.95,0.9949436899771652,0.24232584558206058,0.5199937601131119,1.4698936198412185,,
40,post_publication,0.9,0.9942712834613442,0.5595491467262599,0.07389484001105451,1.914647726911634,,
40,post_publication,0.95,0.9942712834613442,0.5595491467262599,-0.10242489170224311,2.0909674586249314,,
40,pre_minus_post,0.9,0.0006724065158210113,0.6097680403556308,-1.0023067662622296,1.0036515792938716,0.4995600764279869,0.9991201528559738
40,pre_minus_post,0.95,0.0006724065158210113,0.6097680403556308,-1.1944509915047814,1.1957958045364234,0.4995600764279869,0.9991201528559738
60,pre_publication,0.9,0.9949436899771652,0.24624312051747074,0.5899098000821552,1.3999775798721752,,
60,pre_publication,0.95,0.9949436899771652,0.24624312051747074,0.5123160423221667,1.4775713376321638,,
60,post_publication,0.9,0.9942712834613442,0.569842993750952,0.05696296839720605,1.9315795985254822,,
60,post_publication,0.95,0.9942712834613442,0.569842993750952,-0.1226004611330046,2.111143028055693,,
60,pre_minus_post,0.9,0.0006724065158210113,0.6207710624128908,-1.0204051270005408,1.0217499400321828,0.49956787396744917,0.9991357479348983
60,pre_minus_post,0.95,0.0006724065158210113,0.6207710624128908,-1.2160165184581109,1.217361331489753,0.49956787396744917,0.9991357479348983
